1,000001.png,0.41
2,000002.png,0.49
3,000003.png,0.63
4,000004.png,0.49
5,000005.png,0.32
6,000006.png,0.59
7,000007.png,0.53
8,000008.png,0.7
9,000009.png,0.58
10,000010.png,0.44
11,000011.png,0.61
12,000012.png,0.33
13,000013.png,0.41
14,000014.png,0.55
15,000015.png,0.51
16,000016.png,0.39
17,000017.png,0.55
18,000018.png,0.44
19,000019.png,0.77
20,000020.png,0.37
21,000021.png,0.57
22,000022.png,0.57
23,000023.png,0.63
24,000024.png,0.3
25,000025.png,0.58
26,000026.png,0.49
27,000027.png,0.38
28,000028.png,0.7
29,000029.png,0.52
30,000030.png,0.52
31,000031.png,0.36
32,000032.png,0.74
33,000033.png,0.29
34,000034.png,0.58
35,000035.png,0.64
36,000036.png,0.25
37,000037.png,0.48
38,000038.png,0.65
39,000039.png,0.42
40,000040.png,0.49
41,000041.png,0.61
42,000042.png,0.39
43,000043.png,0.46
44,000044.png,0.58
45,000045.png,0.56
46,000046.png,0.5
47,000047.png,0.42
48,000048.png,0.57
49,000049.png,0.42
50,000050.png,0.41
51,000051.png,0.66
52,000052.png,0.33
53,000053.png,0.59
54,000054.png,0.38
55,000055.png,0.6
56,000056.png,0.75
57,000057.png,0.47
58,000058.png,0.83
59,000059.png,0.57
60,000060.png,0.65
61,000061.png,0.35
62,000062.png,0.7
63,000063.png,0.46
64,000064.png,0.6
65,000065.png,0.23
66,000066.png,0.53
67,000067.png,0.2
68,000068.png,0.64
69,000069.png,0.42
70,000070.png,0.76
71,000071.png,0.4
72,000072.png,0.6
73,000073.png,0.46
74,000074.png,0.33
75,000075.png,0.27
76,000076.png,0.26
77,000077.png,0.61
78,000078.png,0.33
79,000079.png,0.67
80,000080.png,0.48
81,000081.png,0.72
82,000082.png,0.68
83,000083.png,0.36
84,000084.png,0.64
85,000085.png,0.33
86,000086.png,0.16
87,000087.png,0.41
88,000088.png,0.34
89,000089.png,0.69
90,000090.png,0.62
91,000091.png,0.51
92,000092.png,0.46
93,000093.png,0.31
94,000094.png,0.62
95,000095.png,0.28
96,000096.png,0.5
97,000097.png,0.6
98,000098.png,0.47
99,000099.png,0.58
100,000100.png,0.46
101,000101.png,0.57
102,000102.png,0.69
103,000103.png,0.07
104,000104.png,0.39
105,000105.png,0.32
106,000106.png,0.27
107,000107.png,0.52
108,000108.png,0.45
109,000109.png,0.27
110,000110.png,0.32
111,000111.png,0.53
112,000112.png,0.55
113,000113.png,0.51
114,000114.png,0.63
115,000115.png,0.62
116,000116.png,0.59
117,000117.png,0.15
118,000118.png,0.59
119,000119.png,0.67
120,000120.png,0.43
121,000121.png,0.66
122,000122.png,0.41
123,000123.png,0.43
124,000124.png,0.66
125,000125.png,0.75
126,000126.png,0.71
127,000127.png,0.62
128,000128.png,0.51
129,000129.png,0.3
130,000130.png,0.41
131,000131.png,0.42
132,000132.png,0.24
133,000133.png,0.75
134,000134.png,0.5
135,000135.png,0.72
136,000136.png,0.4
137,000137.png,0.53
138,000138.png,0.56
139,000139.png,0.46
140,000140.png,0.53
141,000141.png,0.44
142,000142.png,0.55
143,000143.png,0.48
144,000144.png,0.48
145,000145.png,0.63
146,000146.png,0.78
147,000147.png,0.6
148,000148.png,0.57
149,000149.png,0.63
150,000150.png,0.24
151,000151.png,0.27
152,000152.png,0.54
153,000153.png,0.45
154,000154.png,0.66
155,000155.png,0.68
156,000156.png,0.49
157,000157.png,0.55
158,000158.png,0.4
159,000159.png,0.35
160,000160.png,0.37
161,000161.png,0.32
162,000162.png,0.41
163,000163.png,0.25
164,000164.png,0.47
165,000165.png,0.37
166,000166.png,0.46
167,000167.png,0.55
168,000168.png,0.76
169,000169.png,0.26
170,000170.png,0.75
171,000171.png,0.36
172,000172.png,0.5
173,000173.png,0.5
174,000174.png,0.66
175,000175.png,0.35
176,000176.png,0.52
177,000177.png,0.58
178,000178.png,0.63
179,000179.png,0.73
